"","kn","sn","sq"
"1",0.214355517827781,1.77309344474934,0.65820198121552
"2",0.214355517827781,-0.135707277452584,0.65820198121552
"3",1.39331086588057,1.1368265373487,0.65820198121552
"4",0.214355517827781,-0.135707277452584,-1.6305003486038
"5",0.803833191854177,1.1368265373487,0.65820198121552
"6",-0.375122156198616,1.1368265373487,-2.20267593105863
"7",-1.55407750425141,0.500559629948057,-1.6305003486038
"8",0.803833191854177,1.1368265373487,-0.486149183694138
"10",-1.55407750425141,-1.40824109225387,0.0860263987606911
"11",0.214355517827781,-0.135707277452584,-1.05832476614897
"12",0.803833191854177,1.1368265373487,1.80255314612518
"13",0.214355517827781,-0.771974184853226,0.0860263987606911
"14",-0.375122156198616,-0.135707277452584,0.65820198121552
"16",-0.964599830225013,-0.771974184853226,-0.486149183694138
"22",-0.375122156198616,-1.40824109225387,-1.6305003486038
"23",-0.964599830225013,-1.40824109225387,-0.486149183694138
"24",-0.964599830225013,-0.135707277452584,-0.486149183694138
"25",-0.964599830225013,-0.771974184853226,-0.486149183694138
"27",-1.55407750425141,-0.771974184853226,0.0860263987606911
"31",0.214355517827781,-0.135707277452584,0.65820198121552
"34",0.803833191854177,-0.771974184853226,-2.20267593105863
"35",-0.375122156198616,-0.135707277452584,0.65820198121552
"36",0.214355517827781,-0.135707277452584,1.23037756367035
"37",0.803833191854177,-0.771974184853226,0.0860263987606911
"38",-2.14355517827781,-0.135707277452584,0.65820198121552
"39",-0.964599830225013,-0.771974184853226,-1.05832476614897
"40",-0.964599830225013,-0.771974184853226,-1.05832476614897
"41",0.803833191854177,-0.135707277452584,0.65820198121552
"42",1.39331086588057,0.500559629948057,1.80255314612518
"43",-0.964599830225013,0.500559629948057,-0.486149183694138
"44",-0.964599830225013,-0.771974184853226,-0.486149183694138
"45",1.39331086588057,-0.771974184853226,-0.486149183694138
"46",-0.964599830225013,-0.771974184853226,-0.486149183694138
"47",-0.964599830225013,1.1368265373487,-0.486149183694138
"48",-0.964599830225013,1.77309344474934,-0.486149183694138
"49",-0.964599830225013,-2.04450799965451,-0.486149183694138
"50",0.803833191854177,0.500559629948057,-0.486149183694138
"51",1.39331086588057,-0.135707277452584,0.65820198121552
"52",0.214355517827781,-0.135707277452584,0.0860263987606911
"53",-0.964599830225013,1.77309344474934,1.80255314612518
"54",0.214355517827781,0.500559629948057,-1.05832476614897
"55",0.803833191854177,1.1368265373487,0.0860263987606911
"56",-2.14355517827781,-2.04450799965451,0.0860263987606911
"57",-0.964599830225013,-0.771974184853226,0.65820198121552
"58",0.214355517827781,-0.135707277452584,-0.486149183694138
"60",1.39331086588057,-0.135707277452584,1.80255314612518
"62",-0.964599830225013,-0.135707277452584,1.80255314612518
"63",-0.964599830225013,0.500559629948057,-0.486149183694138
"64",-0.964599830225013,-0.771974184853226,-0.486149183694138
"65",-0.375122156198616,-0.771974184853226,0.65820198121552
"66",0.803833191854177,-0.135707277452584,0.0860263987606911
"67",0.803833191854177,0.500559629948057,-0.486149183694138
"68",0.214355517827781,-1.40824109225387,0.65820198121552
"69",0.214355517827781,-0.771974184853226,-0.486149183694138
"70",0.214355517827781,0.500559629948057,0.0860263987606911
"71",-0.964599830225013,-1.40824109225387,0.65820198121552
"72",-0.964599830225013,-1.40824109225387,-0.486149183694138
"73",-0.375122156198616,2.40936035214998,0.65820198121552
"75",-0.964599830225013,-0.771974184853226,-0.486149183694138
"76",1.39331086588057,-1.40824109225387,0.65820198121552
"77",0.803833191854177,-0.135707277452584,0.65820198121552
"78",-2.7330328523042,-0.771974184853226,0.0860263987606911
"79",-0.375122156198616,-1.40824109225387,-0.486149183694138
"80",1.39331086588057,-1.40824109225387,-0.486149183694138
"81",-0.375122156198616,-0.135707277452584,0.65820198121552
"82",1.39331086588057,0.500559629948057,1.80255314612518
"84",-0.375122156198616,0.500559629948057,-0.486149183694138
"85",0.214355517827781,0.500559629948057,-1.6305003486038
"86",-0.375122156198616,-0.771974184853226,-0.486149183694138
"87",1.39331086588057,-0.135707277452584,0.65820198121552
"88",1.39331086588057,-0.771974184853226,0.0860263987606911
"89",0.803833191854177,1.1368265373487,1.80255314612518
"90",-0.375122156198616,-0.135707277452584,-0.486149183694138
"91",1.39331086588057,1.77309344474934,1.80255314612518
"92",-0.375122156198616,0.500559629948057,-1.6305003486038
