"","ds","district","y","yhat","yhat_lower","yhat_upper"
"1",2012-09-30 17:00:00,1,-28.62,-28.6013039442603,-28.693021523552,-28.5003741590908
"2",2012-09-30 17:00:00,2,17.46,17.9561970379339,17.5229014973817,18.4126918288101
"3",2012-09-30 17:00:00,3,32.24,32.7314170714657,32.207542809059,33.2400741474734
"4",2012-09-30 17:00:00,4,16.21,16.0589263764462,15.6376145682076,16.484542599925
"5",2012-09-30 17:00:00,5,-18.63,-18.8598226618001,-19.15507157683,-18.5594740687224
"6",2012-09-30 17:00:00,6,-10.65,-10.5126035537693,-10.9759909986523,-10.1159549245146
"7",2012-09-30 17:00:00,7,33.23,33.2299999999973,33.2299999989263,33.2300000011598
"8",2012-09-30 17:00:00,8,6.5,6.53962793434887,6.3652231737553,6.70850365797971
"9",2012-09-30 17:00:00,9,3.93,4.09320687107875,3.5748763331652,4.60400781537718
"10",2012-09-30 17:00:00,10,3.42,3.20901841163698,2.52929013667034,3.83506996711684
"11",2012-09-30 17:00:00,11,-13.25,-13.2279561334143,-13.2922730905829,-13.1678495636388
"12",2012-09-30 17:00:00,12,-28.34,-28.2703091269903,-28.3799109216306,-28.1672583750932
"13",2012-09-30 17:00:00,13,-16.98,-16.9077236606626,-17.0215528952524,-16.7964473322674
"14",2012-09-30 17:00:00,14,-11.49,-11.5153327942803,-11.5559673381681,-11.4785807770499
"15",2012-09-30 17:00:00,15,-21.2,-21.1367812767449,-21.268126534198,-21.0120458453479
"16",2012-09-30 17:00:00,16,-17.76,-17.82596342325,-17.9123258739446,-17.7347635995998
"17",2012-09-30 17:00:00,17,-14.79,-14.4770895262205,-14.6766978584695,-14.2790649873415
"18",2012-09-30 17:00:00,18,-8.56,-8.21530216744767,-8.61690692915283,-7.76987806997726
"19",2012-09-30 17:00:00,19,21.96,22.4481950436915,21.9996245873419,22.8761694290177
"20",2012-09-30 17:00:00,20,-10.02,-9.62065569032775,-9.89106833567504,-9.33695511348478
"21",2012-09-30 17:00:00,21,-10.13,-10.0371835669188,-10.1100835847674,-9.96512741915445
"22",2012-09-30 17:00:00,22,-23.58,-23.5799999999976,-23.5800000005797,-23.579999999332
"23",2012-09-30 17:00:00,23,-24.81,-24.7387339515519,-24.8520880654061,-24.6200484519476
"24",2012-09-30 17:00:00,24,15.06,15.5079397036881,15.0284451391896,15.9969766120548
"25",2012-09-30 17:00:00,25,-26.08,-26.0469204963847,-26.1449829725725,-25.9577630194114
"26",2012-09-30 17:00:00,26,7.08,7.42930399942409,6.89368233797782,7.9510052581031
"27",2012-09-30 17:00:00,27,33.78,34.1320812415007,33.8133965971308,34.4097807137847
"28",2012-09-30 17:00:00,28,-12.37,-11.9971969952969,-12.3765055430447,-11.6234902316028
"29",2012-09-30 17:00:00,29,19.71,20.3342458843141,19.6712480446597,20.9874595912606
"30",2012-09-30 17:00:00,30,15.89,16.6612715797209,16.0776448595954,17.213029810321
"31",2012-12-31 17:00:00,1,-28.56,-28.5853355299694,-28.6749373098667,-28.4940131840859
"32",2012-12-31 17:00:00,2,17.6,17.9165429031524,17.4321061772836,18.3540702615401
"33",2012-12-31 17:00:00,3,32.52,32.803824595774,32.281573561379,33.337456982051
"34",2012-12-31 17:00:00,4,15.74,15.8254834852368,15.4187320632257,16.2490013274894
"35",2012-12-31 17:00:00,5,-18.69,-18.8951528204615,-19.2017964035474,-18.5692962673436
"36",2012-12-31 17:00:00,6,-10.38,-10.5496345866146,-11.0277747990014,-10.0913390204508
"37",2012-12-31 17:00:00,7,33.43,33.4300000000086,33.429999998901,33.4300000011218
"38",2012-12-31 17:00:00,8,6.75,6.57556220646672,6.40384974750566,6.72848881662752
"39",2012-12-31 17:00:00,9,4.20999999999999,4.1035683715465,3.59538552683854,4.61401136202874
"40",2012-12-31 17:00:00,10,3.55,3.23533371573982,2.62798684183028,3.89348816775108
"41",2012-12-31 17:00:00,11,-13.03,-13.0073683135537,-13.0699846562238,-12.9442851920185
"42",2012-12-31 17:00:00,12,-28.08,-28.075325277909,-28.1829062099048,-27.9646560815125
"43",2012-12-31 17:00:00,13,-16.8,-16.7702670469832,-16.8715612825632,-16.6588201131746
"44",2012-12-31 17:00:00,14,-11.52,-11.4821216597099,-11.5212880737644,-11.4430044622139
"45",2012-12-31 17:00:00,15,-21.02,-21.0048966144302,-21.127214307072,-20.8762716962218
"46",2012-12-31 17:00:00,16,-17.76,-17.7376563964648,-17.832237995646,-17.6512494926939
"47",2012-12-31 17:00:00,17,-14.26,-14.2049532418289,-14.3849461927734,-14.0196830779545
"48",2012-12-31 17:00:00,18,-7.98,-8.01015972015065,-8.47953458466915,-7.57534751296924
"49",2012-12-31 17:00:00,19,22.51,22.6963598463734,22.2349921383354,23.1364746994878
"50",2012-12-31 17:00:00,20,-9.55,-9.4749360685955,-9.73080033470607,-9.19964885091386
"51",2012-12-31 17:00:00,21,-9.92,-9.94303373732795,-10.0188960215874,-9.8682116488108
"52",2012-12-31 17:00:00,22,-23.48,-23.4800000000009,-23.4800000006241,-23.4799999993846
"53",2012-12-31 17:00:00,23,-24.56,-24.5452299205361,-24.6693193953963,-24.4202577098021
"54",2012-12-31 17:00:00,24,15.46,15.4954704521937,14.9424672405108,15.9645487088818
"55",2012-12-31 17:00:00,25,-25.69,-25.6424517552642,-25.7364227995793,-25.5453004088149
"56",2012-12-31 17:00:00,26,7.57,7.55109935518145,7.0755990287825,8.06581798109744
"57",2012-12-31 17:00:00,27,34.12,34.1796075547785,33.8431339136348,34.4878169209633
