year,district,demcount,grncount,lbtcount,gopcount,othcount,totcount,delta.prod,prod,delta.pror,pror
2019,8,"32,222",143,745,"33,589","36,466","103,165",-0.149,31.233,0.219,32.559
2019,9,"50,403",381,"1,075","38,150","38,132","128,141",-0.002,39.334,-0.076,29.772
2019,10,"47,723",344,"1,094","39,540","37,345","126,046",-0.046,37.862,-0.041,31.370
2019,11,"39,128",208,"1,115","56,167","47,375","143,993",-0.028,27.174,-0.036,39.007
2019,12,"34,598",195,"1,711","75,092","52,197","163,793",0.012,21.123,0.022,45.846
2019,13,"31,773",137,"1,056","54,818","45,232","133,016",0.082,23.887,0.118,41.212
2019,14,"32,164",171,990,"51,433","38,683","123,441",-0.046,26.056,0.147,41.666
2019,15,"34,747",201,"1,439","61,473","48,383","146,243",-0.010,23.760,-0.007,42.035
2019,16,"30,131",213,"1,283","58,503","50,744","140,874",-0.040,21.389,0.266,41.529
2019,17,"40,630",200,"1,358","54,449","50,177","146,814",0.067,27.674,0.039,37.087
2019,18,"47,604",283,"1,590","49,875","47,772","147,124",0.189,32.356,-0.278,33.900
2019,19,"39,930",122,708,"14,911","35,091","90,762",0.071,43.994,0.018,16.429
2019,20,"37,283",247,"1,375","44,501","45,077","128,483",0.053,29.018,-0.045,34.636
2019,21,"36,381",186,980,"49,244","44,985","131,776",0.034,27.608,-0.033,37.369
2019,22,"34,811",162,"1,065","74,312","50,066","160,416",-0.109,21.700,0.096,46.325
2019,23,"38,131",167,"1,294","75,799","54,826","170,217",0.007,22.401,0.046,44.531
2019,24,"48,489",341,"1,372","23,887","38,800","112,889",0.004,42.953,-0.115,21.160
2019,25,"31,395",214,"1,405","61,471","45,360","139,845",0.047,22.450,-0.024,43.957
2019,26,"37,100",330,"1,284","22,100","38,676","99,490",0.269,37.290,-0.191,22.213
2019,27,"48,809",176,767,"13,462","34,543","97,757",0.011,49.929,0.051,13.771
2019,28,"42,274",237,"1,424","50,629","43,434","137,998",0.032,30.634,-0.093,36.688
2019,29,"35,555",109,736,"14,753","32,054","83,207",0.346,42.731,-0.026,17.730
2019,30,"34,188",169,737,"16,305","31,380","82,779",0.180,41.300,-0.069,19.697
2018.75,1,27194,226,1177,74416,45791,148804,0.159,18.275,0.232,50.009
2018.75,2,43948,177,647,25328,35124,105224,-0.141,41.766,-0.019,24.071
2018.75,3,48258,416,706,16058,29968,95406,-0.204,50.582,-0.102,16.831
2018.75,4,37576,146,625,21533,34530,94410,0.198,39.801,-0.043,22.808
2018.75,5,21657,149,715,58837,44274,125632,-0.076,17.238,1.178,46.833
2018.75,6,38702,377,1167,50034,42768,133048,0.731,29.089,-0.750,37.606
2018.75,7,64791,153,595,25861,33919,125319,0.082,51.701,0.266,20.636
2018.75,8,31661,134,722,32626,35744,100887,-0.199,31.383,0.375,32.339
2018.75,9,49953,376,1053,37904,37706,126992,0.303,39.336,-0.594,29.848
2018.75,10,47191,343,1064,39103,36790,124491,0.180,37.907,-0.458,31.410
2018.75,11,38480,203,1088,55230,46459,141460,0.201,27.202,-0.029,39.043
2018.75,12,33745,188,1635,73249,51031,159848,0.449,21.111,-0.051,45.824
2018.75,13,30649,130,1021,52909,44043,128752,0.269,23.805,-0.058,41.094
2018.75,14,31979,168,988,50868,38513,122516,-0.064,26.102,0.063,41.519
2018.75,15,34123,201,1421,60353,47458,143556,0.403,23.770,-0.037,42.041
2018.75,16,29534,202,1229,56870,49988,137823,0.223,21.429,0.302,41.263
2018.75,17,39810,193,1327,53424,49448,144202,0.420,27.607,-0.154,37.048
2018.75,18,46441,275,1546,49344,46768,144374,0.438,32.167,-0.239,34.178
2018.75,19,39007,116,700,14574,34410,88807,0.452,43.923,-0.063,16.411
2018.75,20,36749,239,1343,44001,44544,126876,0.323,28.965,-0.132,34.680
2018.75,21,35769,180,949,48519,44303,129720,0.268,27.574,0.059,37.403
2018.75,22,34298,157,1041,72700,49067,157263,0.174,21.809,0.081,46.228
2018.75,23,37578,165,1266,74647,54147,167803,0.463,22.394,0.066,44.485
2018.75,24,47149,335,1319,23355,37622,109780,0.650,42.949,-0.387,21.274
2018.75,25,30929,213,1392,60720,44806,138060,0.330,22.403,-0.051,43.981
2018.75,26,35694,317,1245,21601,37557,96414,0.591,37.022,-0.434,22.404
2018.75,27,47464,170,725,13046,33680,95085,0.464,49.917,-0.036,13.720
2018.75,28,41523,239,1395,49908,42624,135689,0.485,30.602,-0.302,36.781
2018.75,29,34884,108,741,14614,31957,82304,0.512,42.384,-0.089,17.756
2018.75,30,33700,161,733,16199,31162,81955,0.542,41.120,-0.106,19.766
2018.5,1,26244,230,1175,72112,45107,144868,0.110,18.116,0.676,49.778
2018.5,2,42291,197,623,24310,33496,100917,0.315,41.907,0.079,24.089
2018.5,3,45136,407,681,15049,27602,88875,-0.053,50.786,-0.108,16.933
2018.5,4,36381,146,620,20992,33725,91864,-0.103,39.603,0.019,22.851
2018.5,5,22142,151,745,58384,46458,127880,-0.126,17.315,0.997,45.655
2018.5,6,35151,350,1095,47544,39816,123956,0.317,28.358,0.667,38.356
2018.5,7,63192,143,604,24937,33545,122421,-0.059,51.619,0.303,20.370
2018.5,8,30540,123,680,30910,34449,96702,0.200,31.582,0.607,31.964
2018.5,9,46875,369,969,36557,35321,120091,0.664,39.033,-0.489,30.441
2018.5,10,44386,358,1000,37493,34413,117650,0.434,37.727,-0.402,31.868
2018.5,11,36550,212,1044,52889,44669,135364,0.416,27.001,0.128,39.072
2018.5,12,33073,198,1685,73434,51683,160073,0.333,20.661,-0.181,45.875
2018.5,13,29534,131,1002,51639,43179,125485,0.326,23.536,0.224,41.152
2018.5,14,31179,168,973,49399,37440,119159,-0.040,26.166,0.156,41.456
2018.5,15,33263,206,1397,59900,47586,142352,0.559,23.367,-0.128,42.079
2018.5,16,28788,200,1228,55607,49934,135757,0.319,21.206,0.336,40.961
2018.5,17,39056,189,1347,53442,49620,143654,0.480,27.188,-0.214,37.202
2018.5,18,45178,304,1495,49005,46404,142386,0.634,31.729,-0.390,34.417
2018.5,19,38229,104,690,14487,34431,87941,0.261,43.471,-0.087,16.474
2018.5,20,36110,263,1315,43889,44497,126074,0.465,28.642,-0.226,34.812
2018.5,21,34493,181,910,47173,43564,126321,0.430,27.306,0.281,37.344
2018.5,22,33116,154,994,70633,48164,153061,0.474,21.636,0.314,46.147
2018.5,23,37092,178,1306,75127,55429,169132,0.465,21.931,-0.125,44.419
2018.5,24,45108,349,1315,23100,36771,106643,0.738,42.298,-0.468,21.661
2018.5,25,30787,241,1375,61415,45662,139480,0.301,22.073,-0.108,44.031
2018.5,26,34074,318,1231,21361,36546,93530,0.480,36.431,-0.176,22.839
2018.5,27,45791,174,717,12738,33175,92595,0.304,49.453,-0.063,13.757
2018.5,28,40665,237,1414,50072,42637,135025,0.416,30.117,-0.453,37.084
2018.5,29,34094,109,791,14530,31900,81424,0.380,41.872,-0.311,17.845
2018.5,30,32816,175,754,16071,31056,80872,0.561,40.578,-0.430,19.872
2018.25,1,26240,248,1189,71557,46498,145732,-0.003,18.006,0.157,49.102
2018.25,2,41363,170,617,23878,33421,99449,-0.080,41.592,0.099,24.010
2018.25,3,43987,417,694,14744,26680,86522,0.196,50.839,0.041,17.041
2018.25,4,36076,146,609,20745,33282,90858,-0.072,39.706,0.026,22.832
2018.25,5,22514,168,786,57649,47971,129088,-0.076,17.441,0.060,44.659
2018.25,6,36983,407,1204,49709,43590,131893,-0.018,28.040,0.190,37.689
2018.25,7,66253,150,639,25727,35436,128205,-0.154,51.677,0.004,20.067
2018.25,8,30974,131,702,30950,35943,98700,-0.109,31.382,0.131,31.358
2018.25,9,45689,399,979,36831,35180,119078,0.046,38.369,0.030,30.930
2018.25,10,43259,381,991,37433,33933,115997,0.065,37.293,0.112,32.271
2018.25,11,36113,226,1058,52900,45540,135837,0.046,26.586,-0.039,38.944
2018.25,12,31915,190,1604,72306,50980,156995,0.127,20.329,-0.085,46.056
2018.25,13,28898,128,986,50957,43536,124505,0.030,23.210,0.100,40.928
2018.25,14,31556,192,949,49733,37987,120417,-0.009,26.206,0.088,41.301
2018.25,15,32052,215,1391,59313,47559,140530,0.088,22.808,0.075,42.207
2018.25,16,28207,198,1225,54863,50555,135048,0.045,20.887,0.038,40.625
2018.25,17,37500,188,1327,52536,48859,140410,0.131,26.707,0.024,37.416
2018.25,18,43521,309,1463,48716,45952,139961,0.123,31.095,0.036,34.807
2018.25,19,36294,105,679,13910,33007,83995,0.327,43.210,-0.034,16.561
2018.25,20,35523,260,1321,44173,44796,126073,0.128,28.177,-0.053,35.038
2018.25,21,34998,198,961,48264,45802,130223,0.149,26.875,0.331,37.063
2018.25,22,32945,148,1013,71353,50221,155680,0.172,21.162,0.343,45.833
2018.25,23,35773,180,1299,74235,55168,166655,0.079,21.465,-0.023,44.544
2018.25,24,42049,349,1226,22390,35163,101177,0.119,41.560,0.148,22.130
2018.25,25,30042,241,1331,60907,45466,137987,0.018,21.772,-0.094,44.140
2018.25,26,33352,334,1237,21351,36496,92770,0.118,35.951,-0.001,23.015
2018.25,27,43121,168,681,12125,31641,87736,0.273,49.149,0.125,13.820
2018.25,28,39247,250,1382,49602,41661,132142,0.118,29.701,0.051,37.537
2018.25,29,32459,108,777,14203,30683,78230,0.151,41.492,0.018,18.155
2018.25,30,31407,178,752,15934,30213,78484,0.120,40.017,0.074,20.302
2018,1,26335,254,1195,71574,46875,146233,-0.068,18.009,0.021,48.945
2018,2,41477,171,623,23799,33461,99531,0.048,41.672,-0.053,23.911
2018,3,44839,447,735,15052,27467,88540,-0.043,50.643,0.022,17.000
2018,4,36106,149,617,20701,33197,90770,-0.114,39.777,0.013,22.806
2018,5,22429,169,776,57107,47564,128045,-0.109,17.516,0.450,44.599
2018,6,37259,413,1227,49795,44097,132791,-0.009,28.058,-0.070,37.499
2018,7,66372,149,640,25691,35202,128054,0.141,51.831,-0.157,20.063
2018,8,31322,135,713,31059,36234,99463,-0.150,31.491,0.034,31.227
2018,9,46116,410,995,37184,35631,120336,0.084,38.323,-0.018,30.900
2018,10,43754,395,1011,37795,34573,117528,0.000,37.229,-0.025,32.158
2018,11,36334,226,1075,53368,45900,136903,0.036,26.540,-0.156,38.982
2018,12,31639,184,1605,72265,50923,156616,0.047,20.202,-0.054,46.142
2018,13,28836,134,985,50789,43654,124398,-0.007,23.180,0.029,40.828
2018,14,31893,193,956,50140,38479,121661,0.124,26.215,0.278,41.213
2018,15,32171,216,1397,59659,48158,141601,0.060,22.719,0.063,42.132
2018,16,28150,204,1230,54818,50661,135063,-0.038,20.842,-0.005,40.587
2018,17,37778,188,1366,53152,49665,142149,0.137,26.576,-0.132,37.392
2018,18,44158,327,1507,49574,47009,142575,0.012,30.972,0.075,34.770
2018,19,37160,110,710,14380,34294,86654,0.777,42.883,0.083,16.595
2018,20,35384,261,1318,44267,44922,126152,0.105,28.049,-0.035,35.090
2018,21,34945,192,989,48026,46597,130749,0.011,26.727,0.050,36.731
2018,22,32805,152,1028,71097,51209,156291,0.048,20.990,0.023,45.490
2018,23,35580,186,1303,74147,55154,166370,0.015,21.386,0.024,44.568
2018,24,42698,363,1260,22648,36064,103033,0.396,41.441,0.268,21.981
2018,25,29801,244,1325,60596,45026,136992,0.053,21.754,-0.129,44.233
2018,26,33507,336,1267,21522,36876,93508,0.155,35.833,0.080,23.016
2018,27,43962,176,713,12318,32777,89946,0.486,48.876,0.123,13.695
2018,28,39488,264,1412,50037,42281,133482,0.154,29.583,0.103,37.486
2018,29,32917,110,795,14442,31360,79624,0.307,41.341,0.080,18.138
2018,30,31532,180,781,15987,30553,79033,0.371,39.897,0.079,20.228
2017.75,1,26139,257,1169,70743,46288,144596,-0.078,18.077,0.149,48.925
2017.75,2,41615,173,630,23959,33601,99978,-0.108,41.624,-0.005,23.964
2017.75,3,45591,464,745,15272,27877,89949,0.026,50.685,0.007,16.979
2017.75,4,36297,154,618,20739,33181,90989,0.063,39.892,-0.071,22.793
2017.75,5,22904,172,791,57371,48711,129949,-0.146,17.625,0.228,44.149
2017.75,6,37102,415,1218,49663,43793,132191,-0.158,28.067,0.062,37.569
2017.75,7,67021,151,662,26216,35609,129659,-0.134,51.690,0.061,20.219
2017.75,8,31119,135,708,30678,35711,98351,-0.216,31.641,0.054,31.192
2017.75,9,47073,427,1046,38061,36495,123102,-0.070,38.239,0.080,30.918
2017.75,10,44277,401,1038,38276,34941,118933,0.105,37.229,0.167,32.183
2017.75,11,36563,232,1068,53992,46098,137953,-0.121,26.504,-0.054,39.138
2017.75,12,31214,182,1584,71545,50349,154874,-0.025,20.154,-0.130,46.196
2017.75,13,28649,130,985,50409,43383,123556,-0.002,23.187,-0.029,40.799
2017.75,14,32649,208,965,51226,40091,125139,-0.087,26.090,0.006,40.935
2017.75,15,32443,221,1411,60233,48871,143179,-0.024,22.659,-0.120,42.068
2017.75,16,27913,203,1196,54264,50105,133681,-0.025,20.880,-0.053,40.592
2017.75,17,37485,183,1371,53200,49536,141775,0.085,26.440,-0.140,37.524
2017.75,18,44859,331,1540,50273,47893,144896,0.056,30.959,-0.145,34.696
2017.75,19,38430,119,761,15070,36890,91270,-0.018,42.106,-0.008,16.511
2017.75,20,35396,263,1341,44492,45176,126668,-0.049,27.944,-0.114,35.125
2017.75,21,34899,193,989,47917,46631,130629,-0.057,26.716,-0.076,36.682
2017.75,22,32658,154,1027,70905,51205,155949,-0.048,20.941,-0.112,45.467
2017.75,23,35502,188,1280,73997,55157,166124,-0.002,21.371,-0.042,44.543
2017.75,24,44222,368,1325,23394,38431,107740,-0.113,41.045,-0.012,21.713
